Dates,tournament
Jan 15 - 18,"Sony Open in Hawaii
Waialae Country Club - Honolulu, HI"
Jan 22 - 25,"The American Express
La Quinta Country Club - La Quinta, CA
PGA West (Nicklaus Tournament Course) - La Quinta, CA
Pete Dye Stadium Course - La Quinta, CA"
Jan 29 - Feb 1,"Farmers Insurance Open
Torrey Pines (North Course) - La Jolla, CA
Torrey Pines (South Course) - La Jolla, CA"
Feb 5 - 8,"WM Phoenix Open
TPC Scottsdale (Stadium Course) - Scottsdale, AZ"
Feb 12 - 15,"AT&T Pebble Beach Pro-Am
Spyglass Hill GC - Pebble Beach, CA
Pebble Beach Golf Links - Pebble Beach, CA"
Feb 19 - 22,"The Genesis Invitational
Riviera Country Club - Pacific Palisades, CA"
Feb 26 - Mar 1,"Cognizant Classic
PGA National Resort (The Champion Course) - Palm Beach Gardens, FL"
Mar 5 - 8,"Arnold Palmer Invitational pres. by Mastercard
Arnold Palmer's Bay Hill Club & Lodge - Orlando, FL"
Mar 5 - 8,"Puerto Rico Open
Grand Reserve Golf Club - Rio Grande, Puerto Rico"
Mar 12 - 15,"THE PLAYERS Championship
TPC Sawgrass (THE PLAYERS Stadium Course) - Ponte Vedra Beach, FL"
Mar 19 - 22,"Valspar Championship
Innisbrook Resort (Copperhead Course) - Palm Harbor, FL"
Mar 26 - 29,"Texas Children's Houston Open
Memorial Park Golf Course - Houston, TX"
Apr 2 - 5,"Valero Texas Open
TPC San Antonio (Oaks Course) - San Antonio, TX"
Apr 9 - 12,"Masters Tournament
Augusta National Golf Club - Augusta, GA"
Apr 16 - 19,"RBC Heritage
Harbour Town Golf Links - Hilton Head Island, SC"
Apr 23 - 26,"Zurich Classic of New Orleans
TPC Louisiana - Avondale, LA"
Apr 30 - May 3,"Cadillac Championship
Trump National Doral (Blue Monster) - Miami, FL"
May 7 - 10,"Truist Championship
Quail Hollow Club - Charlotte, NC"
May 7 - 10,"ONEflight Myrtle Beach Classic
Dunes Golf & Beach Club - Myrtle Beach, SC"
May 14 - 17,"PGA Championship
Aronimink Golf Club - Newtown Square, PA"
May 21 - 24,"THE CJ CUP Byron Nelson
TPC Craig Ranch - McKinney, TX"
May 28 - 31,"Charles Schwab Challenge
Colonial Country Club - Fort Worth, TX"
Jun 4 - 7,"the Memorial Tournament pres. by Workday
Muirfield Village Golf Club - Dublin, OH"
Jun 11 - 14,"RBC Canadian Open
TPC Toronto at Osprey Valley (North Course) - Caledon, ON"
Jun 18 - 21,"U.S. Open
Shinnecock Hills Golf Club - Southampton, NY"
Jun 25 - 28,"Travelers Championship
TPC River Highlands - Cromwell, CT"
Jul 2 - 5,"John Deere Classic
TPC Deere Run - Silvis, IL"
Jul 9 - 12,"Genesis Scottish Open
The Renaissance Club - North Berwick, Scotland"
Jul 9 - 12,"ISCO Championship
Hurstbourne Country Club - Louisville, KY"
Jul 16 - 19,"The Open
Royal Birkdale GC - Southport, England"
Jul 16 - 19,"Corales Puntacana Championship
Puntacana Resort & Club (Corales Golf Course) - Punta Cana, Dominican Republic"
Jul 23 - 26,"3M Open
TPC Twin Cities - Blaine, MN"
Jul 30 - Aug 2,"Rocket Classic
Detroit Golf Club - Detroit, MI"
Aug 6 - 9,"Wyndham Championship
Sedgefield Country Club - Greensboro, NC"
Aug 13 - 16,"FedEx St. Jude Championship
TPC Southwind - Memphis, TN"
Aug 20 - 23,"BMW Championship
Bellerive Country Club - St. Louis, MO"
Aug 27 - 30,"TOUR Championship
East Lake Golf Club - Atlanta, GA"